<TICKER>,<DATE>,<OPEN_TAR>,<HIGH_TAR>,<LOW_TAR>,<CLOSE_TAR>,<VOL_TAR>,<OPEN_DEP1>,<HIGH_DEP1>,<LOW_DEP1>,<CLOSE_DEP1>
SBER,20100405,88.5100000,88.8200000,87.6200000,88.6000000,98894297,29.2194000,29.2194000,29.2194000,29.2194000
SBER,20100406,88.4800000,89.1400000,87.4500000,88.6000000,142654808,29.2097000,29.2097000,29.2097000,29.2097000
SBER,20100407,88.6100000,88.9500000,86.3000000,86.3000000,147365015,29.2416000,29.2416000,29.2416000,29.2416000
SBER,20100408,86.0000000,86.0000000,84.4000000,84.9400000,147019005,29.2940000,29.2940000,29.2940000,29.2940000
SBER,20100409,85.4700000,87.8500000,85.1800000,86.8800000,149602473,29.4003000,29.4003000,29.4003000,29.4003000
SBER,20100412,87.7500000,88.0000000,85.8400000,86.5400000,112180131,29.3232000,29.3232000,29.3232000,29.3232000
SBER,20100413,85.8300000,88.2600000,85.6300000,87.2000000,163704467,28.9428000,28.9428000,28.9428000,28.9428000
SBER,20100414,88.1100000,89.4800000,87.8800000,89.2000000,152849144,29.0294000,29.0294000,29.0294000,29.0294000
SBER,20100415,89.7100000,90.2700000,88.6300000,89.3000000,121510651,29.0444000,29.0444000,29.0444000,29.0444000
SBER,20100416,88.6700000,89.8900000,86.7500000,86.9900000,118428501,28.9310000,28.9310000,28.9310000,28.9310000
SBER,20100419,85.6000000,85.8000000,82.8100000,85.2000000,179993628,29.0325000,29.0325000,29.0325000,29.0325000
SBER,20100420,85.9600000,87.3700000,85.3600000,86.7000000,143002610,29.1969000,29.1969000,29.1969000,29.1969000
SBER,20100421,87.2000000,88.0000000,84.9000000,85.5000000,145967242,29.1381000,29.1381000,29.1381000,29.1381000
SBER,20100422,85.0100000,86.3500000,83.2400000,84.4500000,189780579,29.0906000,29.0906000,29.0906000,29.0906000
SBER,20100423,84.9900000,86.0100000,83.4000000,84.4200000,172862874,29.1288000,29.1288000,29.1288000,29.1288000
SBER,20100426,85.3800000,85.8400000,84.5200000,84.8100000,132830533,29.2743000,29.2743000,29.2743000,29.2743000
SBER,20100427,84.3300000,84.3600000,82.3200000,82.9300000,148745066,29.0882000,29.0882000,29.0882000,29.0882000
SBER,20100428,81.0000000,81.4300000,78.9200000,79.5300000,243595026,29.0623000,29.0623000,29.0623000,29.0623000
SBER,20100429,80.1300000,81.1900000,79.4200000,80.9500000,155054059,29.3801000,29.3801000,29.3801000,29.3801000
SBER,20100430,81.0100000,81.3800000,77.8200000,78.6000000,152047266,29.2886000,29.2886000,29.2886000,29.2886000
SBER,20100504,79.1900000,80.0900000,75.4600000,75.8500000,223770374,29.1537000,29.1537000,29.1537000,29.1537000
SBER,20100505,75.1700000,77.4400000,73.5000000,75.1700000,279983091,29.2982000,29.2982000,29.2982000,29.2982000
SBER,20100506,74.7900000,76.9900000,73.5300000,73.8500000,288953286,29.6812000,29.6812000,29.6812000,29.6812000
SBER,20100507,70.9600000,72.7000000,69.5100000,70.3500000,376102154,30.2971000,30.2971000,30.2971000,30.2971000
SBER,20100511,73.6000000,75.1000000,71.1500000,75.0000000,302678172,30.7193000,30.7193000,30.7193000,30.7193000
SBER,20100512,74.2900000,82.3000000,74.1000000,81.9300000,375175511,30.3609000,30.3609000,30.3609000,30.3609000
SBER,20100513,82.6800000,84.7300000,79.4200000,80.8000000,395687867,30.2048000,30.2048000,30.2048000,30.2048000
SBER,20100514,79.8100000,80.5500000,76.9200000,77.4300000,234354676,29.8597000,29.8597000,29.8597000,29.8597000
SBER,20100517,75.3000000,77.4500000,74.8500000,76.0100000,322247824,30.0575000,30.0575000,30.0575000,30.0575000
SBER,20100518,76.9900000,78.2800000,75.7000000,77.1200000,301167472,30.6986000,30.6986000,30.6986000,30.6986000
SBER,20100519,75.4900000,75.8800000,73.4300000,73.6800000,262833253,30.3946000,30.3946000,30.3946000,30.3946000
SBER,20100520,74.0100000,75.3000000,69.2300000,69.9000000,378181485,30.6953000,30.6953000,30.6953000,30.6953000
SBER,20100521,70.5000000,71.7400000,67.1600000,69.3000000,448771102,30.7523000,30.7523000,30.7523000,30.7523000
SBER,20100524,70.9900000,71.7100000,69.1300000,69.9600000,287536945,31.0576000,31.0576000,31.0576000,31.0576000
SBER,20100525,67.3800000,67.6400000,63.8100000,64.3300000,313892852,30.8754000,30.8754000,30.8754000,30.8754000
SBER,20100526,66.1700000,69.3900000,65.6000000,69.1200000,517011123,31.4293000,31.4293000,31.4293000,31.4293000
SBER,20100527,69.3600000,71.7600000,68.1000000,70.6500000,411848429,31.3538000,31.3538000,31.3538000,31.3538000
SBER,20100528,71.2100000,72.0700000,69.8000000,70.2000000,271518522,30.8786000,30.8786000,30.8786000,30.8786000
SBER,20100531,70.2900000,71.4300000,69.9300000,71.0000000,111111543,30.4956000,30.4956000,30.4956000,30.4956000
SBER,20100601,70.4300000,71.6000000,68.0800000,70.7000000,248943161,30.7400000,30.7400000,30.7400000,30.7400000
SBER,20100602,69.5300000,71.2600000,68.9200000,70.9500000,310612661,31.0702000,31.0702000,31.0702000,31.0702000
SBER,20100603,72.9800000,73.2600000,72.0000000,72.0100000,224359720,31.1900000,31.1900000,31.1900000,31.1900000
SBER,20100604,72.2600000,73.5300000,69.5000000,70.2500000,305215180,30.8938000,30.8938000,30.8938000,30.8938000
SBER,20100607,67.6500000,71.7400000,67.4000000,71.1400000,270585434,31.0685000,31.0685000,31.0685000,31.0685000
SBER,20100608,71.9800000,72.4900000,70.1800000,70.9500000,308890882,31.7798000,31.7798000,31.7798000,31.7798000
SBER,20100609,71.7400000,72.5700000,70.6300000,71.9000000,253838637,31.6200000,31.6200000,31.6200000,31.6200000
SBER,20100610,72.0800000,73.3500000,70.7700000,73.2900000,251607832,31.7302000,31.7302000,31.7302000,31.7302000
SBER,20100611,73.7600000,73.8000000,71.3500000,72.1900000,192359104,31.5742000,31.5742000,31.5742000,31.5742000
SBER,20100615,72.6500000,76.0000000,72.2400000,76.0000000,241875695,31.4471000,31.4471000,31.4471000,31.4471000
SBER,20100616,77.0000000,77.4400000,75.3100000,76.7100000,263409279,31.4595000,31.4595000,31.4595000,31.4595000
SBER,20100617,76.4800000,79.7400000,76.1300000,78.5000000,341705028,31.1566000,31.1566000,31.1566000,31.1566000
SBER,20100618,78.8900000,80.3000000,77.4300000,80.3000000,231118759,31.1854000,31.1854000,31.1854000,31.1854000
SBER,20100621,82.0100000,84.5600000,81.8000000,84.0200000,212706694,30.8840000,30.8840000,30.8840000,30.8840000
SBER,20100622,83.0000000,83.9000000,81.0300000,82.4100000,256299831,30.7267000,30.7267000,30.7267000,30.7267000
SBER,20100623,81.5900000,83.0500000,80.5500000,80.8500000,173616966,30.8960000,30.8960000,30.8960000,30.8960000
SBER,20100624,81.7300000,82.0800000,79.9300000,80.2800000,181104210,30.9694000,30.9694000,30.9694000,30.9694000
SBER,20100625,80.0700000,80.3700000,77.7000000,78.0000000,196920634,31.0149000,31.0149000,31.0149000,31.0149000
SBER,20100628,78.5400000,80.7000000,78.2300000,80.1300000,168813490,31.0761000,31.0761000,31.0761000,31.0761000
SBER,20100629,79.0000000,79.0000000,76.4400000,77.5000000,176724856,30.9833000,30.9833000,30.9833000,30.9833000
SBER,20100630,77.1100000,78.4300000,76.0500000,76.5000000,279507669,31.1954000,31.1954000,31.1954000,31.1954000
SBER,20100701,75.1000000,75.5000000,71.7900000,71.9000000,237625783,31.2554000,31.2554000,31.2554000,31.2554000
SBER,20100702,73.1900000,73.9300000,71.5000000,72.9800000,274749056,31.3703000,31.3703000,31.3703000,31.3703000
SBER,20100705,73.0600000,73.7900000,72.7600000,73.3700000,94716715,31.1942000,31.1942000,31.1942000,31.1942000
SBER,20100706,74.1600000,76.7700000,74.0000000,76.7000000,218357012,31.1124000,31.1124000,31.1124000,31.1124000
SBER,20100707,75.6600000,77.5300000,74.0500000,77.4900000,269422892,31.1124000,31.1124000,31.1124000,31.1124000
SBER,20100708,78.9100000,79.4500000,77.1300000,77.1800000,244029750,31.0922000,31.0922000,31.0922000,31.0922000
SBER,20100709,78.2000000,78.5900000,76.0000000,77.6600000,184373531,30.9479000,30.9479000,30.9479000,30.9479000
SBER,20100712,77.0000000,80.2500000,76.9500000,79.8000000,235777541,30.7953000,30.7953000,30.7953000,30.7953000
SBER,20100713,79.3900000,82.7000000,79.1100000,82.4700000,266715548,30.8823000,30.8823000,30.8823000,30.8823000
SBER,20100714,83.0100000,83.4700000,81.6700000,82.0600000,227868576,30.8543000,30.8543000,30.8543000,30.8543000
SBER,20100715,82.2200000,84.2700000,80.5500000,80.7600000,288190150,30.5390000,30.5390000,30.5390000,30.5390000
SBER,20100716,81.1300000,81.7500000,78.4300000,79.0700000,242405005,30.5619000,30.5619000,30.5619000,30.5619000
SBER,20100719,78.6500000,80.8300000,78.5000000,80.5000000,168547801,30.4615000,30.4615000,30.4615000,30.4615000
SBER,20100720,81.1700000,81.7000000,78.6900000,79.8000000,199749366,30.5739000,30.5739000,30.5739000,30.5739000
SBER,20100721,80.7100000,82.2600000,80.3800000,81.9000000,225330502,30.4058000,30.4058000,30.4058000,30.4058000
